path,bce,dice,total
../data/train/4407228657868624139,0.0005,0.095,0.0956
../data/train/4673900806996948520,0.0041,0.095,0.0991
../data/train/1263059953038311441,0.0008,0.0951,0.0959
../data/train/1551919511178597278,0.0009,0.0951,0.096
../data/train/6808554589916160921,0.0002,0.0951,0.0953
../data/train/8600083587655035552,0.0004,0.0951,0.0955
../data/train/5913668717246725061,0.0,0.0952,0.0952
../data/train/7517718955774882372,0.0002,0.0952,0.0954
../data/train/8643809311593380746,0.0005,0.0953,0.0958
../data/train/8231494216954548256,0.0008,0.0953,0.0961
../data/train/3564468928339576682,0.0018,0.0954,0.0972
../data/train/3295699627097472529,0.0002,0.0954,0.0956
../data/train/6586602310562989755,0.0001,0.0954,0.0955
../data/train/3669450838967556875,0.0007,0.0955,0.0962
../data/validation/5632263304846263118,0.0002,0.0955,0.0956
../data/train/9095447318245566483,0.001,0.0955,0.0965
../data/train/380037884918002537,0.0002,0.0955,0.0957
../data/train/4787945863125722949,0.0015,0.0956,0.0971
../data/train/8454868909280620249,0.0002,0.0957,0.0959
../data/validation/7203764113486871112,0.0003,0.0957,0.096
../data/train/1304081861778169989,0.0006,0.0957,0.0963
../data/validation/2328100931109621914,0.0013,0.0958,0.0971
../data/train/8524090447079474665,0.0027,0.0958,0.0985
../data/train/8604271809538769043,0.0016,0.0959,0.0975
../data/train/3218259825010582940,0.0003,0.0961,0.0963
../data/train/5341965974826720072,0.0018,0.0964,0.0981
../data/validation/3467281921546597615,0.0004,0.0964,0.0967
../data/train/2257719020134941567,0.0008,0.0965,0.0974
../data/train/3856388860479456869,0.0004,0.0966,0.0969
../data/train/7709239005704184793,0.0004,0.0966,0.097
../data/train/5137678487478866252,0.0001,0.0966,0.0967
../data/train/455101963456015523,0.0005,0.0966,0.0971
../data/train/4928358925462774589,0.0031,0.0967,0.0999
../data/validation/5483054799339096716,0.0007,0.0967,0.0974
../data/train/2125226138631055963,0.0002,0.0967,0.0969
../data/train/2476270775526546597,0.0001,0.0967,0.0968
../data/train/3589834565482008466,0.0002,0.0968,0.0971
../data/train/1946214930856348667,0.0002,0.0968,0.097
../data/train/7397187466344906249,0.0025,0.0968,0.0993
../data/train/1292159236758380068,0.0004,0.0969,0.0973
../data/train/4438881092301895664,0.0002,0.0969,0.0971
../data/train/5254229228801362641,0.0006,0.0969,0.0974
../data/train/5473098352012196080,0.0012,0.097,0.0982
../data/train/6140718402126197883,0.0003,0.097,0.0973
../data/train/1217720713971985927,0.0005,0.097,0.0974
../data/train/8894072877516938686,0.0004,0.097,0.0974
../data/train/1895313378253532591,0.0006,0.0971,0.0977
../data/train/4078317914730337876,0.0,0.0971,0.0971
../data/train/8762711548653673640,0.0011,0.0971,0.0981
../data/train/6293931601155326755,0.0004,0.0972,0.0975
../data/validation/5236303681123658418,0.0011,0.0972,0.0983
../data/train/139474040382920694,0.0003,0.0972,0.0975
../data/train/698014234242367829,0.0008,0.0972,0.098
../data/train/3300848841428176436,0.0,0.0972,0.0973
../data/train/631482636015639139,0.0001,0.0972,0.0974
../data/train/3130062170334213440,0.0004,0.0973,0.0977
../data/train/5773032751526493654,0.0001,0.0973,0.0974
../data/train/5444185206942894271,0.0001,0.0973,0.0974
../data/train/5928050149220582380,0.0003,0.0974,0.0977
../data/train/5461137288532942273,0.0003,0.0974,0.0977
../data/train/6692262202703254298,0.0008,0.0974,0.0982
../data/train/7791368350189926067,0.0004,0.0975,0.0979
../data/train/2965473829674304138,0.0002,0.0975,0.0978
../data/train/4849682861277881825,0.0003,0.0975,0.0978
../data/train/7246110804324533585,0.0005,0.0975,0.098
../data/train/3856041716068992557,0.0006,0.0976,0.0982
../data/train/5716256781861320181,0.0003,0.0976,0.0979
../data/train/2065557933296877752,0.0014,0.0976,0.099
../data/train/1538379551980087334,0.0012,0.0977,0.0989
../data/train/3921796449897399666,0.0005,0.0977,0.0982
../data/train/7913751391036110680,0.0005,0.0977,0.0982
../data/train/2676972723895285971,0.0019,0.0978,0.0997
../data/validation/1328922767110227719,0.0004,0.0979,0.0983
../data/train/7283253556434494749,0.0002,0.0979,0.0981
../data/train/318299254414699164,0.003,0.0979,0.1009
../data/train/5977657710028342160,0.0009,0.0979,0.0988
../data/train/2177018971198860623,0.0012,0.098,0.0993
../data/train/8649981721039655688,0.002,0.098,0.1
../data/train/1894804347384595758,0.0,0.098,0.098
../data/train/3049049343851762970,0.0004,0.098,0.0984
../data/train/2104597158772601366,0.0,0.098,0.098
../data/train/6191521660435195798,0.0003,0.098,0.0983
../data/train/2321727227670591776,0.0,0.098,0.098
../data/train/350651577793344790,0.0001,0.098,0.0981
../data/train/1629200351576302538,0.0002,0.098,0.0982
../data/train/279137789896555176,0.0,0.0981,0.0981
../data/train/4326863872205320288,0.0001,0.0981,0.0982
../data/train/5546308936767215863,0.0005,0.0981,0.0986
../data/train/8873003259531671831,0.0003,0.0982,0.0984
../data/train/6382652482016507744,0.0006,0.0982,0.0989
../data/train/5672572661728457064,0.0002,0.0982,0.0984
../data/train/3180082754435041962,0.0001,0.0982,0.0983
../data/train/2796026569460436355,0.0001,0.0982,0.0983
../data/train/4390543925742222249,0.0002,0.0982,0.0984
../data/train/3489418897931168469,0.0003,0.0982,0.0985
../data/train/656421177149425032,0.0005,0.0983,0.0989
../data/train/172111922464475075,0.0002,0.0983,0.0986
../data/train/5373323485135022051,0.0003,0.0983,0.0986
../data/train/539368597884344495,0.0015,0.0984,0.0998
../data/train/8485051746608266325,0.0001,0.0984,0.0984
../data/train/3794710721255209399,0.0025,0.0984,0.1009
../data/train/8285330656088652394,0.0005,0.0984,0.0988
../data/train/3321456975426401647,0.0041,0.0984,0.1025
../data/train/6473559118584918276,0.0001,0.0985,0.0986
../data/train/1835370550445815924,0.0001,0.0985,0.0986
../data/train/5628846445154361728,0.0002,0.0985,0.0988
../data/train/8468496940273326793,0.0002,0.0985,0.0987
../data/validation/2227191393870283612,0.0005,0.0985,0.099
../data/train/2134339731803568962,0.0,0.0985,0.0985
../data/train/5034295077480112382,0.0019,0.0985,0.1004
